palmitic palmitoleic stearic oleic linoleic eicosanoic linolenic eicosenoic
1.454 0.183 0.196 7.057 1.014 0.0149 0.046 0.0067
1.347 0.194 0.197 7.277 0.895 0.0122 0.046 0.0045
1.364 0.204 0.225 6.929 1.084 0.0082 0.05 0.0041
1.41 0.199 0.216 7.13 0.955 0.0082 0.048 0.0067
1.384 0.178 0.208 7.105 0.999 0.0182 0.067 0.0135
1.412 0.185 0.217 6.842 1.203 0.03 0.072 0.0245
1.41 0.232 0.28 6.715 1.233 0.0245 0.06 0.011
1.509 0.209 0.257 6.647 1.24 0.0667 0.062 0.0201
1.317 0.197 0.256 7.036 1.067 0.0546 0.06 0.009
1.286 0.192 0.203 7.132 1.053 0.0447 0.065 0.0164
1.273 0.191 0.202 6.862 1.303 0.0737 0.07 0.0164
1.463 0.183 0.183 6.747 1.307 0.0366 0.06 0.011
1.399 0.187 0.191 6.861 1.233 0.0447 0.06 0.0055
1.413 0.193 0.208 6.875 1.202 0.0201 0.06 0.006
1.369 0.206 0.203 6.953 1.168 0.0331 0.05 0.005
1.488 0.172 0.17 6.92 1.144 0.0404 0.054 0.0041
1.323 0.16 0.205 6.911 1.298 0.011 0.05 0.0055
1.311 0.166 0.17 6.902 1.312 0.0603 0.069 0.0164
1.286 0.163 0.183 7.04 1.23 0.0182 0.057 0.0033
1.38 0.173 0.188 7.038 1.139 0.0222 0.044 0.0041
1.394 0.164 0.223 7.086 1.042 0.011 0.043 0.01
1.324 0.174 0.198 6.863 1.289 0.0366 0.07 0.0082
1.29 0.157 0.192 7 1.263 0.0135 0.051 0.0067
1.361 0.163 0.196 6.888 1.273 0.0404 0.058 0.011
1.387 0.182 0.242 6.913 1.101 0.0815 0.068 0.0201
1.369 0.18 0.181 7 1.13 0.0494 0.045 0.011
1.303 0.165 0.175 7.025 1.243 0.0222 0.041 0.005
1.346 0.16 0.169 7.072 1.151 0.0494 0.048 0.0045
1.369 0.171 0.184 6.937 1.246 0.0201 0.048 0.0045
1.305 0.172 0.169 7.004 1.26 0.0164 0.05 0.003
1.351 0.179 0.186 6.935 1.243 0.0366 0.05 0.0067
1.283 0.151 0.182 7 1.271 0.0546 0.052 0.0082
1.449 0.175 0.198 6.883 1.162 0.0546 0.07 0.009
1.31 0.18 0.183 7.054 1.202 0.0135 0.032 0.0033
1.36 0.163 0.176 6.901 1.28 0.0164 0.065 0.0149
1.3 0.187 0.196 6.92 1.253 0.0603 0.076 0.0122
1.368 0.171 0.218 7.01 1.057 0.0603 0.054 0.0135
1.207 0.151 0.156 7.159 1.234 0.0149 0.051 0.0041
1.348 0.154 0.183 6.917 1.277 0.1215 0.056 0.005
1.632 0.186 0.229 7.261 0.827 0.03 0.056 0.0074
1.301 0.156 0.207 7.003 1.229 0.0603 0.048 0.0041
1.226 0.181 0.213 6.961 1.23 0.1099 0.074 0.0135
1.201 0.168 0.19 7.1 1.216 0.0737 0.064 0.005
1.297 0.153 0.177 7.004 1.26 0.0331 0.06 0.005
1.248 0.163 0.158 7.103 1.222 0.0222 0.06 0.0041
1.335 0.159 0.197 6.974 1.22 0.0366 0.06 0.0055
1.219 0.167 0.171 7.087 1.254 0.0331 0.05 0.005
1.318 0.179 0.177 7.03 1.194 0.0331 0.042 0.0122
1.264 0.167 0.166 7.13 1.187 0.009 0.052 0.0033
1.201 0.175 0.201 7.129 1.193 0.0366 0.049 0.0045
1.252 0.18 0.181 7.055 1.214 0.0222 0.059 0.0447
