age race earnwke senior married union female hogwarts hhouse
1 41 Pureblood 500 Senior Married Non-Union Female Graduated Slytherin
2 27 Pureblood 520 Senior Married Non-Union Male Graduated Slytherin
3 29 Muggle-Born 615 Senior Single Non-Union Male Graduated Slytherin
4 50 Muggle-Born 865.38 Senior Married Non-Union Female Graduated Ravenclaw
5 27 Pureblood 712.5 Senior Single Non-Union Male Graduated Slytherin
6 24 Pureblood 711.53 Junior Single Union Female Graduated Slytherin
7 63 Halfblood 440 Senior Single Non-Union Female Drop-Out Slytherin
8 53 Pureblood 553.84 Senior Married Non-Union Male Drop-Out Slytherin
9 51 Pureblood 600 Senior Married Non-Union Female Graduated Slytherin
10 42 Pureblood 1730.76 Senior Married Non-Union Male Drop-Out Gryffindor
11 36 Pureblood 181.5 Senior Married Non-Union Female Graduated Gryffindor
12 57 Pureblood 1442 Senior Married Non-Union Male Graduated Ravenclaw
13 39 Pureblood 980.76 Senior Single Non-Union Female Graduated Ravenclaw
14 55 Pureblood 1216 Senior Married Non-Union Male Drop-Out Slytherin
15 45 Muggle-Born 2692.3 Senior Married Non-Union Male Graduated Slytherin
16 36 Muggle-Born 807.69 Junior Married Non-Union Female Graduated Slytherin
17 47 Halfblood 750 Senior Married Non-Union Male Graduated Slytherin
18 45 Halfblood 769.23 Senior Married Non-Union Female Drop-Out Slytherin
19 40 Pureblood 1192.3 Senior Married Non-Union Male Graduated Ravenclaw
20 33 Pureblood 480 Junior Married Non-Union Female Drop-Out Hufflepuff
21 43 Halfblood 961 Senior Married Non-Union Male Drop-Out Slytherin
22 38 Halfblood 590 Senior Married Non-Union Female Graduated Slytherin
23 40 Muggle-Born 1153.84 Senior Married Non-Union Male Graduated Ravenclaw
24 46 Muggle-Born 730.76 Senior Married Non-Union Female Graduated Ravenclaw
25 22 Pureblood 660 Senior Single Non-Union Female Graduated Ravenclaw
26 58 Pureblood 538 Senior Married Union Female Graduated Ravenclaw
27 34 Pureblood 450 Senior Married Non-Union Male Graduated Slytherin
28 33 Pureblood 576 Senior Married Non-Union Female Graduated Slytherin
29 25 Pureblood 692.3 Senior Single Non-Union Male Drop-Out Slytherin
30 47 Pureblood 160 Junior Single Non-Union Female Graduated Slytherin
31 42 Pureblood 18 Senior Single Non-Union Male Graduated Ravenclaw
32 61 Pureblood 644.23 Senior Married Union Female Graduated Gryffindor
33 60 Pureblood 508.4 Senior Married Non-Union Male Graduated Ravenclaw
34 58 Pureblood 1600 Senior Married Non-Union Female Graduated Ravenclaw
35 44 Pureblood 1115.38 Senior Married Non-Union Male Graduated Hufflepuff
36 44 Pureblood 1291.25 Senior Married Non-Union Female Graduated Hufflepuff
37 24 Pureblood 500 Senior Single Non-Union Female Graduated Slytherin
38 59 Pureblood 2884.61 Senior Married Non-Union Male Graduated Gryffindor
39 54 Pureblood 850 Senior Married Union Male Drop-Out Gryffindor
40 57 Muggle-Born 1360 Junior Married Non-Union Male Graduated Ravenclaw
41 52 Pureblood 2120 Senior Married Non-Union Female Graduated Ravenclaw
42 56 Pureblood 1750 Senior Single Non-Union Male Graduated Hufflepuff
43 40 Pureblood 1923.05 Senior Married Non-Union Male Graduated Ravenclaw
44 35 Pureblood 2307 Senior Married Non-Union Male Graduated Hufflepuff
45 36 Pureblood 1625 Senior Married Union Female Graduated Hufflepuff
46 27 Pureblood 736.25 Senior Single Non-Union Female Graduated Hufflepuff
47 41 Pureblood 350 Junior Single Non-Union Male Drop-Out Slytherin
48 59 Pureblood 1500 Senior Married Union Male Graduated Ravenclaw
49 60 Pureblood 1000 Senior Married Non-Union Female Drop-Out Ravenclaw
50 55 Pureblood 230.76 Senior Single Union Female Drop-Out Hufflepuff
51 41 Pureblood 340 Senior Single Non-Union Female Graduated Slytherin
52 49 Pureblood 858 Senior Married Non-Union Female Graduated Hufflepuff
53 24 Pureblood 380 Senior Single Non-Union Male Drop-Out Slytherin
54 23 Pureblood 460 Senior Single Non-Union Male Drop-Out Slytherin
55 39 Pureblood 720 Senior Married Non-Union Male Drop-Out Ravenclaw
56 45 Pureblood 446.8 Senior Married Non-Union Female Drop-Out Ravenclaw
57 35 Pureblood 2884 Senior Single Union Male Drop-Out Slytherin
58 37 Pureblood 360 Junior Single Non-Union Female Graduated Slytherin
59 41 Pureblood 400 Senior Single Non-Union Female Graduated Slytherin
60 42 Pureblood 423.07 Senior Single Non-Union Female Graduated Slytherin
61 35 Pureblood 600 Senior Married Non-Union Male Graduated Hufflepuff
62 58 Pureblood 790.8 Senior Single Non-Union Male Drop-Out Hufflepuff
63 48 Pureblood 1442 Senior Single Non-Union Male Graduated Gryffindor
64 35 Pureblood 1384.61 Senior Single Non-Union Female Graduated Slytherin
65 48 Pureblood 2403 Senior Single Non-Union Female Graduated Gryffindor
66 31 Pureblood 425 Senior Single Non-Union Female Drop-Out Slytherin
67 60 Pureblood 658.1 Senior Married Non-Union Female Graduated Hufflepuff
68 38 Halfblood 1600 Senior Married Union Male Graduated Hufflepuff
69 57 Pureblood 441 Senior Single Non-Union Female Drop-Out Hufflepuff
70 58 Pureblood 1634.61 Senior Married Non-Union Male Graduated Ravenclaw
71 51 Pureblood 1615.38 Senior Married Non-Union Male Drop-Out Ravenclaw
72 52 Pureblood 423 Senior Married Union Female Graduated Ravenclaw
73 37 Pureblood 2000 Junior Married Non-Union Male Graduated Ravenclaw
74 61 Pureblood 2884.61 Senior Single Non-Union Female Graduated Slytherin
75 58 Pureblood 1045.2 Senior Married Non-Union Male Drop-Out Ravenclaw
76 35 Pureblood 800 Senior Married Non-Union Male Graduated Gryffindor
77 28 Pureblood 600 Senior Married Non-Union Female Drop-Out Gryffindor
78 24 Pureblood 686.27 Senior Single Non-Union Male Drop-Out Ravenclaw
79 47 Pureblood 288.46 Senior Married Non-Union Female Graduated Gryffindor
80 51 Pureblood 576 Senior Married Non-Union Female Graduated Gryffindor
81 43 Pureblood 140 Senior Married Non-Union Female Drop-Out Ravenclaw
82 23 Pureblood 512 Senior Single Non-Union Male Graduated Ravenclaw
83 31 Pureblood 2100 Senior Single Non-Union Male Graduated Ravenclaw
84 55 Pureblood 961.53 Senior Married Union Male Graduated Hufflepuff
85 47 Pureblood 1500 Junior Married Union Female Graduated Hufflepuff
