sick     time      date   grains fruit egg cheese candy meat vegetable dairy starch fried protein
moderate breakfast 21-jan 1      0     0   0      0     0    0         0     0      0     0
none     lunch     21-jan 1      1     0   0      0     0    0         0     0      0     0
none     dinner    21-jan 1      0     1   1      0     0    0         0     0      0     0
moderate dinner    21-jan 0      0     0   0      1     0    0         0     0      0     0
none     breakfast 22-jan 0      0     0   0      0     0    0         0     0      1     0
none     lunch     22-jan 1      0     0   1      0     1    1         1     0      0     0
none     dinner    22-jan 0      0     0   0      0     0    0         0     0      0     0
none     dinner    22-jan 1      0     0   0      0     0    0         0     0      0     0
none     breakfast 23-jan 0      0     0   0      0     0    0         0     0      0     0
none     breakfast 24-jan 1      0     0   0      0     0    0         0     1      0     0
none     lunch     24-jan 1      0     0   1      0     1    1         1     0      1     0
none     dinner    24-jan 1      0     1   1      0     0    1         1     0      0     0
moderate breakfast 25-jan 0      0     1   1      0     1    1         0     0      0     0
none     lunch     25-jan 0      0     0   0      0     0    0         0     0      0     0
none     dinner    25-jan 1      0     1   1      0     0    1         0     0      0     0
none     breakfast 26-jan 0      0     0   0      0     0    0         0     0      0     0
none     lunch     26-jan 1      1     0   0      1     0    0         0     0      0     1
none     dinner    26-jan 0      0     0   0      0     0    0         0     0      0     0
mild     breakfast 27-jan 1      0     0   0      0     0    0         1     0      0     0
none     lunch     27-jan 1      0     0   0      0     0    0         0     0      0     0
mild     dinner    27-jan 1      0     0   1      0     1    1         1     0      0     0
none     dinner    27-jan 0      0     0   0      1     0    0         0     0      0     0
none     breakfast 28-jan 1      0     0   0      0     0    0         0     0      0     0
none     lunch     28-jan 0      0     0   0      0     0    0         0     0      0     0
mild     dinner    28-jan 0      0     0   0      0     1    1         0     1      0     0
none     breakfast 29-jan 1      0     0   0      0     0    0         0     0      0     0
none     lunch     29-jan 0      0     0   0      0     0    1         0     0      0     0
none     dinner    29-jan 1      1     0   0      1     0    0         0     0      0     1
none     breakfast 30-jan 1      0     0   0      0     0    0         0     0      0     0
none     lunch     30-jan 0      0     0   0      0     0    0         0     0      0     0
none     dinner    30-jan 0      1     0   0      1     0    1         1     1      0     0
none     breakfast 31-jan 1      0     0   1      0     0    0         0     1      0     0
none     lunch     31-jan 1      0     0   0      1     0    1         1     0      0     0
none     dinner    31-jan 0      0     0   0      0     0    0         0     0      0     0
none     breakfast 01-feb 0      0     0   0      0     0    0         0     0      0     0
none     lunch     01-feb 1      0     0   0      0     0    0         0     0      0     0
none     dinner    01-feb 1      0     0   1      0     0    1         1     0      0     0
none     breakfast 02-feb 1      1     0   0      0     0    0         0     0      0     1
mild     lunch     02-feb 1      0     0   1      0     0    0         1     0      0     0
none     dinner    02-feb 0      0     0   0      0     0    0         0     0      0     0
moderate breakfast 03-feb 1      0     0   0      0     0    0         1     0      0     0
none     lunch     03-feb 1      0     0   1      1     0    0         1     0      0     0
mild     dinner    03-feb 1      0     0   0      0     0    1         0     0      0     0
mild     breakfast 04-feb 1      0     1   0      0     0    0         0     0      0     0
none     lunch     04-feb 1      1     0   0      0     0    0         0     0      0     0
none     dinner    04-feb 1      1     0   0      0     0    0         0     0      0     1
moderate breakfast 05-feb 1      0     1   0      1     0    0         0     0      1     0
none     lunch     05-feb 1      1     0   0      1     0    0         0     0      0     1
none     dinner    05-feb 1      1     0   0      0     0    0         0     0      0     0
none     breakfast 06-feb 1      0     0   0      0     0    0         0     0      0     0
mild     lunch     06-feb 1      0     0   0      0     0    0         1     0      0     0
moderate dinner    06-feb 0      0     0   0      1     0    0         1     0      0     0
none     breakfast 07-feb 1      0     0   1      0     0    0         0     1      0     0
none     lunch     07-feb 1      0     0   0      0     1    1         1     0      0     0
mild     dinner    07-feb 0      0     0   0      1     1    0         1     1      1     0
mild     breakfast 08-feb 1      0     1   0      0     0    0         0     0      0     0
none     lunch     08-feb 1      0     0   0      0     0    0         0     0      0     0
none     dinner    08-feb 1      0     0   1      1     0    0         1     0      0     0
