title kids_S kids_V kids_P MPAA rot_all_fresh rot_all_rot rot_top_fresh rot_top_rot rot_aud live_action imdb year
inception 1 7 4 PG13 249 39 37 8 91 1 8.8 2010
hunger_games 3 7 3 PG13 232 43 37 10 81 1 7.3 2012
edge_of_tomorrow 2 6 5 PG13 216 24 40 6 91 1 8.1 2014
the_mouse_and_the_motorcycle NA NA NA G 1 0 0 0 67 0 7.2 1986
thumb_wars NA NA NA NR 3 1 0 0 69 0 6.8 1999
saratov_approach NA NA NA PG13 2 2 0 1 88 1 5.7 2013
catching_fire 3 6 4 PG13 217 27 45 6 90 1 7.8 2013
godzilla_2014 1 5 3 PG13 187 70 33 16 70 1 7.1 2014
maleficent 1 4 2 PG 91 99 18 23 74 1 7.4 2014
prince_of_egypt 1 4 1 PG 66 18 19 7 75 0 6.9 1998
wall_e 1 2 1 G 233 9 45 1 89 0 8.5 2008
secret_life_of_walter_mitty 2 3 3 PG 89 88 16 22 71 1 7.4 2013
walking_with_dinosaurs 1 4 2 PG 17 53 3 16 42 0 5.2 2013
enders_game 1 6 3 PG13 118 78 20 20 67 1 6.8 2013
world_war_z 1 7 4 PG13 169 81 34 15 72 1 7.1 2013
i_am_legend 2 7 3 PG13 146 63 29 21 68 1 7.2 2007
percy_jackson_sea_of_monsters 1 5 3 PG 46 65 11 17 57 1 6 2013
the_book_thief 1 5 2 PG13 61 73 16 22 75 1 7.6 2013
harry_potter_6 4 6 3 PG 220 43 42 7 77 1 7.5 2009
monsters_university 1 3 1 G 143 40 33 10 82 0 7.4 2013
toy_story_1 NA NA NA G 78 0 20 0 92 0 8.3 1995
toy_story_2 1 3 0 G 163 0 42 0 85 0 7.9 1999
toy_story_3 1 3 1 G 262 3 49 0 89 0 8.4 2010
pacific_rim 2 7 4 PG13 182 72 30 16 77 1 7.1 2013
finding_nemo 0 3 0 G 236 2 49 0 86 0 8.2 2003
cars 2 3 2 G 145 51 36 11 80 0 7.3 2006
cars_2 2 4 1 G 80 124 18 26 51 0 6.4 2011
batman_begins 2 6 3 PG13 225 41 33 19 94 1 8.3 2005
the_dark_knight 2 7 3 PG13 271 18 47 5 94 1 9 2008
signs 1 5 4 PG13 167 59 26 17 67 1 6.7 2002
the_sixth_sense 3 6 3 PG13 119 21 29 7 89 1 8.2 1999
the_prestige 4 7 3 PG13 142 46 27 19 92 1 8.5 2007
captain_america 3 6 4 PG13 175 47 34 11 94 1 6.8 2011
gravity 1 5 5 PG13 295 10 51 1 81 1 8.1 2013
the_lego_movie 1 3 2 PG 190 8 38 2 88 0 8 2014
monsters_inc 1 4 1 G 185 8 38 4 90 0 8.1 2001
the_incredibles 2 4 1 PG 224 7 45 2 74 0 8 2004
ratatouille 2 3 1 G 213 9 47 2 87 0 8 2007
cloverfield 4 6 5 PG13 151 46 29 11 68 1 7.1 2008
man_of_steel 3 6 3 PG13 160 128 25 25 76 1 7.3 2013
the_lion_king 0 3 0 G 99 11 20 2 93 0 8.5 1994
mulan 1 3 1 G 63 10 12 4 84 0 7.5 1998
non_stop 1 5 5 PG13 118 80 25 13 65 1 7.1 2014
hobbit_1 1 6 2 PG13 174 96 22 25 83 1 8 2012
hobbit_2 1 7 1 PG13 160 56 29 15 86 1 8.1 2013
saving_mr_banks 1 4 2 PG13 183 47 33 13 85 1 7.6 2013
its_a_wonderful_life NA NA NA NR 62 4 9 1 96 1 8.7 1946
lotr_1 1 7 1 PG13 200 19 43 3 95 1 8.8 2001
lotr_2 1 7 1 PG13 225 10 46 0 95 1 8.8 2002
lotr_3 1 7 1 PG13 240 14 47 2 86 1 8.9 2003
captain_phillips 1 5 4 PG13 222 16 45 5 90 1 7.9 2013
star_trek_into_darkness 3 5 4 PG13 215 32 39 9 90 1 7.9 2013
epic 1 4 1 PG 76 42 10 16 66 0 6.7 2013
frozen 1 3 1 PG 167 21 38 6 87 0 7.8 2013
tangled 2 4 1 PG 166 20 33 4 87 0 7.9 2010
star_wars_1 1 5 1 PG 109 82 21 32 60 1 6.6 1999
star_wars_2 2 5 1 PG 146 73 18 25 60 1 6.8 2002
star_wars_3 2 7 0 PG13 202 51 32 17 65 1 7.7 2005
star_wars_4 NA NA NA PG 66 5 17 3 96 1 8.7 1977
star_wars_5 NA NA NA PG 72 3 15 2 97 1 8.8 1980
star_wars_6 NA NA NA PG 54 15 13 5 95 1 8.4 1983
muppets_treasure_island 0 3 1 G 16 7 4 1 77 1 6.9 1996
pirates_1 3 5 3 PG13 163 44 29 14 86 1 8.1 2003
muppets_christmas_carol 0 1 0 G 25 11 4 4 86 1 7.7 1992
the_avengers 2 7 3 PG13 277 24 41 8 91 1 8.2 2012
sherlock_holmes_1 4 7 2 PG13 162 69 25 21 77 1 7.6 2009
dinosaur 1 4 1 PG 79 43 21 11 47 0 6.4 2000
after_earth 1 6 1 PG13 20 169 4 37 37 1 5 2013
narnia_1 1 6 1 PG 159 50 34 10 61 1 6.9 2005
narnia_2 1 6 1 PG 126 62 26 18 73 1 6.6 2008
narnia_3 1 5 1 PG 78 81 14 20 58 1 6.4 2010
ferris_bueller NA NA NA PG13 47 12 2 8 92 1 7.9 1986
second_hand_lions 2 4 4 PG 79 54 12 22 84 1 7.6 2003
harry_potter_1 0 4 2 PG 153 38 32 11 82 1 7.4 2001
harry_potter_2 1 4 3 PG 178 38 33 13 79 1 7.3 2002
i_am_david 2 5 1 PG 13 21 3 7 85 1 7.4 2004
up 1 3 0 PG 275 5 45 2 90 0 8.3 2009
the_rescuers_down_under NA NA NA G 17 8 3 3 68 0 6.9 1990
the_wizard_of_oz NA NA NA PG 101 1 23 1 89 1 8.1 1939
mr_smith_goes_to_washington NA NA NA NR 32 2 4 1 94 1 8.3 1939
to_kill_a_mockingbird NA NA NA NR 46 3 4 2 93 1 8.4 1962
ice_age 1 3 1 PG 126 38 27 9 82 0 7.6 2002
willy_wonka NA NA NA G 32 4 1 0 86 1 6.8 1971
charlie_and_the_chocolate_factory 3 4 2 PG 182 40 37 11 51 1 7.8 2005
a_bugs_life 1 3 1 G 77 7 19 1 72 0 7.2 1998
amazing_spider_man_2 1 6 3 PG13 135 120 17 33 69 1 7.4 2014
super_8 2 6 5 PG13 221 49 38 9 75 1 7.1 2011
captain_america_winter_soldier 1 6 3 PG13 212 26 34 8 93 1 8 2014
